Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
860047,1988/09/21,"17 h 13 min 11 sec","BRANDES DU HAUT-POITOU (ST-GEORGES-LES-BLGX.)",POITOU,,501252.03,6621781.98,46.67,0.40,3.5,INCERTAINE
50097,1988/09/29,"15 h 13 min 43 sec","BRIANCONNAIS (ST-CHAFFREY)","ALPES DAUPHINOISES",,982603.39,6432427.95,44.93,6.58,3.5,INCERTAINE
230034,1988/10/01,"0 h 27 min 42 sec","HAUTE-MARCHE (AZERABLES)",LIMOUSIN,,582093.01,6584486.68,46.35,1.47,3,"ASSEZ SURE"
50098,1988/10/06,"22 h 42 min 42 sec","QUEYRAS (CEILLAC)","ALPES DAUPHINOISES",,999783.45,6403578.61,44.67,6.78,4,"INFORMATION ISOLÉE"
640516,1988/10/07,"3 h 48 min 20 sec","BEARN (ISSOR)","PYRENEES OCCIDENTALES",,401200.93,6225535.03,43.07,-0.67,4,"ASSEZ SURE"
90034,1988/10/19,"2 h 11 min 15 sec","COUSERANS (SALAU)","PYRENEES CENTRALES",,551108.40,6185095.46,42.75,1.18,3.5,"INFORMATION ISOLÉE"
730206,1988/10/29,"21 h 3 min 18 sec","MAURIENNE (EPIERRE)","ALPES SAVOYARDES",,957874.24,6488784.87,45.45,6.30,4,"INFORMATION ISOLÉE"
650487,1988/11/24,"17 h 53 min 46 sec","BIGORRE (ST-CREAC ?)","PYRENEES CENTRALES",,454070.52,6221441.48,43.05,-0.02,4,"ASSEZ SURE"
170112,1988/12/06,"21 h 38 min 58 sec","AUNIS (AIGREFEUILLE)",CHARENTES,,396358.74,6564993.95,46.12,-0.93,3,"INFORMATION ISOLÉE"
640517,1988/12/19,"6 h 5 min 30 sec","BEARN (S. LANNE)","PYRENEES OCCIDENTALES",,392881.23,6222216.49,43.03,-0.77,5,"ASSEZ SURE"
650473,1989/01/06,"19 h 33 min 9 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,471332.10,6209678.68,42.95,0.20,5.5,SURE
490094,1989/02/04,"14 h 19 min 9 sec","MAUGES (BEGROLLES)",ANJOU,,403242.50,6677701.73,47.13,-0.92,4,"ASSEZ SURE"
40186,1989/02/12,"3 h 52 min 4 sec","PREALPES DE DIGNE (LA JAVIE)","ALPES PROVENCALES",,968919.67,6352139.80,44.22,6.37,4,"ASSEZ SURE"
170113,1989/02/13,"17 h 32 min 50 sec","ILE D'OLERON",CHARENTES,,368261.38,6546070.28,45.93,-1.28,4,"ASSEZ SURE"
170114,1989/02/14,"0 h 47 min 2 sec","ILE D'OLERON",CHARENTES,,376194.94,6549351.62,45.97,-1.18,4,"ASSEZ SURE"
640518,1989/02/25,"2 h 55 min 18 sec","BEARN (ARTHEZ-DE-BEARN)","PYRENEES OCCIDENTALES",,408740.90,6271556.46,43.48,-0.60,4,"ASSEZ SURE"
640519,1989/03/10,"13 h 52 min 24 sec","BEARN (BESINGRAND)","PYRENEES OCCIDENTALES",,408318.75,6262303.39,43.40,-0.60,4,"ASSEZ SURE"
730204,1989/03/11,"18 h 42 min 50 sec","BEAUFORTIN (N. BOURG-SAINT-MAURICE)","ALPES SAVOYARDES",,987722.94,6519751.83,45.72,6.70,4,INCERTAINE
650472,1989/03/21,"5 h 16 min 58 sec","BIGORRE (S-E. GAZOST)","PYRENEES CENTRALES",,460654.56,6215629.87,43.00,0.07,4,"ASSEZ SURE"
250034,1989/04/30,"3 h 38 min 2 sec","AVANT-PAYS JURASSIEN (FROIDEVAUX)",FRANCHE-COMTE,,979486.32,6695402.64,47.30,6.70,4.5,"ASSEZ SURE"
30035,1989/05/03,"7 h 44 min 11 sec","HAUTE-MARCHE (LA CHAPELAUDE)",BOURBONNAIS,,661573.34,6587165.26,46.38,2.50,4,"ASSEZ SURE"
640522,1989/05/30,"6 h 28 min 10 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,429782.80,6226125.15,43.08,-0.32,5,"ASSEZ SURE"
680123,1989/09/03,"15 h 9 min 46 sec","PLAINE DE HAUTE-ALSACE (SOPPE-LE-HAUT)",ALSACE,,1005929.15,6744905.39,47.73,7.08,4,"ASSEZ SURE"
1130499,1989/12/26,"20 h 0 min 0 sec","MEDITERRANEE (S. NICE)","ALPES MARITIMES",,1054061.71,6284007.92,43.57,7.38,5,ARBITRAIRE
730205,1990/01/20,"19 h 25 min 22 sec","MAURIENNE (LANSLEBOURG-MONT-CENIS)","ALPES SAVOYARDES",,1005639.08,6472435.59,45.28,6.90,3.5,"ASSEZ SURE"
640523,1990/02/11,"20 h 13 min 2 sec","BEARN (S-W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,435058.74,6222196.29,43.05,-0.25,4,SURE
640524,1990/02/28,"13 h 23 min 44 sec","PAYS BASQUE (S.E. LARRAU)","PYRENEES OCCIDENTALES",,383194.11,6218975.45,43.00,-0.88,4,"ASSEZ SURE"
640525,1990/03/27,"3 h 32 min 13 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,398573.38,6227512.71,43.08,-0.70,5,"ASSEZ SURE"
880076,1990/05/14,"21 h 42 min 35 sec","HAUTES-VOSGES (GERARDMER)",VOSGES,,977976.58,6780604.60,48.07,6.73,3.5,"ASSEZ SURE"
360033,1990/06/02,"14 h 33 min 12 sec","MARCHE-BOISCHAUT (ARGENTON-SUR-CREUSE)",BERRY,,591428.40,6604675.80,46.53,1.58,5,"ASSEZ SURE"
640527,1990/06/12,"18 h 48 min 58 sec","BEARN (S-W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,5,"ASSEZ SURE"
650474,1990/10/16,"14 h 25 min 31 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,449924.42,6219746.72,43.03,-0.07,4,SURE
640528,1990/10/31,"6 h 46 min 48 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408487.61,6266004.67,43.43,-0.60,5,SURE
640529,1990/11/02,"21 h 25 min 27 sec","BEARN (ISSOR)","PYRENEES OCCIDENTALES",,399930.20,6227449.23,43.08,-0.68,5,SURE
40190,1990/11/09,"10 h 59 min 2 sec","PLATEAU DE VALENSOLE (MOUSTIERS-STE-MARIE)","ALPES PROVENCALES",,964114.59,6307453.35,43.82,6.28,4,"ASSEZ SURE"
880067,1990/11/14,"2 h 35 min 43 sec","HAUTES-VOSGES (RUPT-SUR-MOSELLE)",VOSGES,,976017.01,6769387.64,47.97,6.70,4,"ASSEZ SURE"
640537,1991/02/08,"18 h 35 min 57 sec","BEARN (S. BARCUS)","PYRENEES OCCIDENTALES",,392233.40,6237088.87,43.17,-0.78,4,SURE
50099,1991/02/11,"15 h 43 min 45 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,989600.59,6423483.98,44.85,6.67,6,"ASSEZ SURE"
640538,1991/04/01,"23 h 47 min 47 sec","PAYS BASQUE (IDAUX-MENDY)","PYRENEES OCCIDENTALES",,381487.56,6239468.28,43.18,-0.92,4.5,SURE
230036,1991/05/22,"13 h 41 min 12 sec","HAUTE-MARCHE (MORTROUX)",LIMOUSIN,PRECURSEUR,614182.72,6587650.41,46.38,1.88,4,SURE
230037,1991/06/09,"0 h 34 min 3 sec","HAUTE-MARCHE (MORTROUX)",LIMOUSIN,,614182.72,6587650.41,46.38,1.88,4,"ASSEZ SURE"
490097,1991/12/06,"19 h 34 min 4 sec","VAL D'ANJOU (LA BREILLE-LES-PINS)",ANJOU,,479790.39,6696623.55,47.33,0.08,4,SURE
620017,1991/12/14,"13 h 30 min 56 sec","BOULONNAIS (LONGUEVILLE)",FLANDRE-ARTOIS,,619817.50,7069457.54,50.72,1.87,5,"ASSEZ SURE"
40192,1992/01/02,"2 h 12 min 28 sec","UBAYE (LE LAUZET)","ALPES PROVENCALES",,973195.18,6376416.48,44.43,6.43,4,"ASSEZ SURE"
170115,1992/01/25,"4 h 13 min 19 sec","PERTUIS BRETON (N. ST-MARTIN-DE-RE)",CHARENTES,,361296.52,6583526.68,46.27,-1.40,5,"ASSEZ SURE"
640540,1992/02/03,"8 h 16 min 10 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408318.75,6262303.39,43.40,-0.60,5,"ASSEZ SURE"
1140117,1992/03/19,"18 h 53 min 20 sec","CERDAGNE (PUIGCERDA)",ESPAGNE,,616192.90,6146843.92,42.42,1.98,4,"ASSEZ SURE"
640542,1992/07/30,"0 h 15 min 6 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408234.32,6260452.66,43.38,-0.60,5,SURE
10036,1992/12/28,"3 h 14 min 44 sec","BUGEY (N-W. BELLEY)","BRESSE ET JURA BRESSAN",,898094.60,6523611.79,45.78,5.55,4.5,"ASSEZ SURE"
440073,1993/03/13,"11 h 36 min 17 sec","PRESQU'ILE GUERANDAISE (ST-MOLF)","PAYS NANTAIS ET VENDEEN",,290138.74,6708514.18,47.35,-2.43,5.5,SURE
650492,1993/05/27,"6 h 12 min 9 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,462013.80,6215579.50,43.00,0.08,5,"ASSEZ SURE"
640543,1993/06/07,"7 h 19 min 31 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,412450.39,6263970.74,43.42,-0.55,4.5,SURE
650489,1993/11/17,"17 h 50 min 57 sec","BIGORRE (S-E. GAZOST)","PYRENEES CENTRALES",,460516.90,6211926.02,42.97,0.07,4.5,INCERTAINE
790040,1993/12/12,"2 h 58 min 55 sec","VALLEE DU LAYON (CLERE)",ANJOU,,440860.82,6670394.01,47.08,-0.42,5,SURE
380115,1994/02/03,"3 h 46 min 1 sec","LAC D'AIGUEBELETTE","ALPES SAVOYARDES",,915892.13,6496432.55,45.53,5.77,5,SURE
640544,1994/02/13,"10 h 28 min 12 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,391878.41,6229685.37,43.10,-0.78,5,"ASSEZ SURE"
650493,1994/03/03,"4 h 2 min 7 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,451211.32,6217842.38,43.02,-0.05,4,SURE
110014,1994/05/25,"3 h 35 min 37 sec","CORBIERES (LEZIGNAN)",LANGUEDOC,,675607.44,6235319.48,43.22,2.70,4.5,"ASSEZ SURE"
110015,1994/06/15,"3 h 29 min 39 sec","CORBIERES (QUILLAN)",LANGUEDOC,,622357.26,6202384.48,42.92,2.05,4.5,"ASSEZ SURE"
650495,1994/07/02,"17 h 42 min 50 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,470235.90,6217135.32,43.02,0.18,3.5,"ASSEZ SURE"
730219,1994/08/01,"21 h 39 min 28 sec","PELVOUX (ST-JEAN-D'ARVES)","ALPES SAVOYARDES",,956419.24,6460936.16,45.20,6.27,4,"INFORMATION ISOLÉE"
40193,1994/11/24,"21 h 17 min 36 sec","HAUT-VERDON (ROUGON)","ALPES PROVENCALES",,972074.51,6309643.22,43.83,6.38,4,"ASSEZ SURE"
1150081,1994/11/30,"16 h 31 min 21 sec","PLAINE DE CAEN (N. COURSEULLES)",NORMANDIE,,449257.02,6920341.20,49.33,-0.45,4.5,INCERTAINE
740150,1994/12/14,"8 h 56 min 0 sec","GENEVOIS (LES VILLARDS-SUR-THONES)","ALPES SAVOYARDES",,960871.80,6540781.85,45.92,6.37,6,SURE
640545,1995/02/12,"15 h 31 min 6 sec","BEARN (ASSON)","PYRENEES OCCIDENTALES",,435363.73,6229602.32,43.12,-0.25,4.5,"ASSEZ SURE"
790042,1995/03/21,"3 h 35 min 38 sec","BOCAGE VENDEEN (LES AUBIERS)",POITOU,,423757.73,6656333.99,46.95,-0.63,4,"ASSEZ SURE"
60144,1995/03/31,"3 h 34 min 39 sec","ALPES NICOISES (VALDEBLORE)","ALPES MARITIMES",,1036313.38,6338686.85,44.07,7.20,3,"INFORMATION ISOLÉE"
740151,1995/08/02,"3 h 5 min 18 sec","AVANT-PAYS SAVOYARD (SILLINGY)","ALPES SAVOYARDES",,934914.10,6543433.99,45.95,6.03,4,"ASSEZ SURE"
740152,1995/08/21,"19 h 32 min 15 sec","AVANT-PAYS SAVOYARD (SILLINGY)","ALPES SAVOYARDES",,934914.10,6543433.99,45.95,6.03,3.5,"INFORMATION ISOLÉE"
730220,1995/09/04,"17 h 2 min 55 sec","BAUGES (JARSY)","ALPES SAVOYARDES",,947867.31,6510603.12,45.65,6.18,4,"ASSEZ SURE"
730221,1995/09/04,"21 h 1 min 41 sec","BAUGES (AILLON)","ALPES SAVOYARDES",,940229.43,6506595.27,45.62,6.08,4,"ASSEZ SURE"
230039,1995/09/15,"18 h 24 min 25 sec","HAUTE-MARCHE (LA SOUTERRAINE ?)",LIMOUSIN,,583125.56,6571508.16,46.23,1.48,3.5,"ASSEZ SURE"
670144,1995/10/03,"4 h 43 min 9 sec","PLAINE DE BASSE-ALSACE (ANDLAU)",ALSACE,,1026943.38,6816519.48,48.37,7.42,5,"ASSEZ SURE"
640546,1996/01/06,"2 h 36 min 52 sec","BEARN (ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,436492.54,6223992.10,43.07,-0.23,4,"ASSEZ SURE"
640547,1996/01/06,"3 h 14 min 24 sec","BEARN (LYS)","PYRENEES OCCIDENTALES",,427383.07,6233645.23,43.15,-0.35,5,"ASSEZ SURE"
640548,1996/01/14,"12 h 19 min 17 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,404184.88,6260638.70,43.38,-0.65,4,SURE
640549,1996/01/14,"17 h 11 min 55 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,407054.12,6264215.79,43.42,-0.62,4,"ASSEZ SURE"
640550,1996/01/24,"1 h 14 min 15 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,401571.74,6262614.78,43.40,-0.68,4,"ASSEZ SURE"
640551,1996/02/01,"5 h 0 min 48 sec","BEARN (ARBEOST)","PYRENEES OCCIDENTALES",,430907.65,6220513.79,43.03,-0.30,4,"ASSEZ SURE"
60154,1996/02/12,"16 h 31 min 53 sec","ALPES NICOISES (L'ESCARENE)","ALPES MARITIMES",,1051283.61,6309824.94,43.80,7.37,4,"ASSEZ SURE"
40201,1996/02/18,"4 h 16 min 35 sec","QUEYRAS (CERVIERES)","ALPES DAUPHINOISES",,992491.51,6418059.34,44.80,6.70,5.5,"ASSEZ SURE"
660095,1996/02/18,"1 h 45 min 46 sec","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",,664471.48,6181626.45,42.73,2.57,6,SURE
300029,1996/03/25,"4 h 27 min 31 sec","COTES DU RHONE (ROCHEFORT-DU-GARD)",CEVENNES,,833784.35,6318189.40,43.95,4.67,3.5,"ASSEZ SURE"
110017,1996/03/29,"11 h 45 min 11 sec","LITTORAL LANGUEDOCIEN (PORT-LA-NOUVELLE)",LANGUEDOC,,701360.26,6211183.85,43.00,3.02,4,"ASSEZ SURE"
60155,1996/04/18,"5 h 31 min 41 sec","ALPES NICOISES (ISOLA)","ALPES MARITIMES",,1016901.66,6352515.79,44.20,6.97,4,"ASSEZ SURE"
740153,1996/07/15,"0 h 13 min 31 sec","AVANT-PAYS SAVOYARD (EPAGNY-ANNECY)","ALPES SAVOYARDES",,938928.86,6539885.15,45.92,6.08,7,SURE
740154,1996/07/23,"4 h 8 min 42 sec","AVANT-PAYS SAVOYARD (EPAGNY-ANNECY)","ALPES SAVOYARDES",REPLIQUE,938928.86,6539885.15,45.92,6.08,5,SURE
660096,1996/08/15,"17 h 39 min 16 sec","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",REPLIQUE,654944.94,6187246.68,42.78,2.45,4,"ASSEZ SURE"
640552,1996/08/24,"14 h 33 min 22 sec","PAYS BASQUE (ESPELETTE)","PYRENEES OCCIDENTALES",,336502.78,6260417.36,43.35,-1.48,3.5,"ASSEZ SURE"
60156,1996/10/17,"15 h 21 min 39 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES",,1065162.87,6325449.15,43.93,7.55,3.5,INCERTAINE
60157,1996/11/24,"0 h 27 min 9 sec","ALPES NICOISES (LA BRIGUE)","ALPES MARITIMES",,1069641.52,6340549.44,44.07,7.62,3.5,"INFORMATION ISOLÉE"
500052,1996/11/26,"20 h 21 min 35 sec","AVRANCHIN (GENETS)",NORMANDIE,,371244.75,6850023.28,48.67,-1.47,4.5,INCERTAINE
160048,1996/12/01,"11 h 52 min 46 sec","ANGOUMOIS (XAMBES)",CHARENTES,,476224.25,6530051.49,45.83,0.12,5,"ASSEZ SURE"
660097,1996/12/16,"11 h 35 min 41 sec","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",REPLIQUE,659052.54,6189072.99,42.80,2.50,4.5,"ASSEZ SURE"
850055,1997/01/12,"1 h 24 min 1 sec","BOCAGE VENDEEN (BESSAY)","PAYS NANTAIS ET VENDEEN",,383450.99,6613839.66,46.55,-1.13,5,"ASSEZ SURE"
680131,1997/02/01,"14 h 1 min 59 sec","PLAINE DE HAUTE-ALSACE (RIXHEIM)",ALSACE,,1027136.00,6746041.17,47.73,7.37,4,SURE
60172,1997/06/26,"6 h 8 min 35 sec","ALPES NICOISES (LANTOSQUE)","ALPES MARITIMES",,1044716.20,6331721.44,44.00,7.30,5,SURE
310036,1997/07/02,"3 h 20 min 5 sec","HAUT-COMMINGES (ST-BEAT)","PYRENEES CENTRALES",,515390.44,6178598.26,42.68,0.75,4,"ASSEZ SURE"
790043,1997/09/30,"3 h 5 min 1 sec","MELLOIS (POUFFONDS)",POITOU,,461233.15,6576924.10,46.25,-0.10,4,INCERTAINE
40205,1997/10/03,"15 h 3 min 36 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,966960.92,6366882.55,44.35,6.35,3,"INFORMATION ISOLÉE"
40203,1997/10/31,"4 h 23 min 44 sec","PREALPES DE DIGNE (PRADS-HAUTE-BLEONE)","ALPES PROVENCALES",,976821.06,6354335.20,44.23,6.47,6,"ASSEZ SURE"
640555,1997/12/04,"22 h 51 min 47 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,405619.92,6262427.09,43.40,-0.63,5.5,"ASSEZ SURE"
640556,1997/12/06,"20 h 33 min 1 sec","BEARN (LAGOR)","PYRENEES OCCIDENTALES",,401658.13,6264465.39,43.42,-0.68,5,"ASSEZ SURE"
570020,1998/01/05,"4 h 47 min 54 sec","BASSIN SARROIS (BETTING-LES- SAINT-AVOLD)",LORRAINE,,978536.72,6897494.81,49.12,6.82,4.5,"ASSEZ SURE"
850056,1998/01/24,"19 h 19 min 44 sec","BOCAGE VENDEEN (LA ROCHE-SUR-YON)","PAYS NANTAIS ET VENDEEN",,362394.78,6626102.80,46.65,-1.42,3,"ASSEZ SURE"
130134,1998/02/18,"3 h 30 min","BASSE-PROVENCE (W. MIMET)",PROVENCE,,899776.71,6262478.92,43.43,5.47,3.5,"ASSEZ SURE"
650496,1998/03/14,"5 h 37 min 22 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,479368.85,6205689.85,42.92,0.30,4,"ASSEZ SURE"
560052,1998/06/11,"17 h 52 min 19 sec","VANNETAIS (VANNES)",BRETAGNE,,265381.00,6749259.18,47.70,-2.80,3.5,"ASSEZ SURE"
650497,1998/11/28,"13 h 32 min 7 sec","LAVEDAN (W. ARGELES-GAZOST)","PYRENEES CENTRALES",,441848.38,6221920.27,43.05,-0.17,5,SURE
640557,1998/12/01,"23 h 47 min 58 sec","BEARN (BARCUS)","PYRENEES OCCIDENTALES",,396122.60,6233193.41,43.13,-0.73,3,"ASSEZ SURE"
640558,1998/12/29,"12 h 24 min 19 sec","PAYS BASQUE (N. LARRAU)","PYRENEES OCCIDENTALES",,378037.85,6224797.75,43.05,-0.95,4,"ASSEZ SURE"
380117,1999/01/11,"3 h 36 min 37 sec","DRAC (ST-GEORGES-DE-COMMIERS)",DAUPHINE,,915085.67,6444546.31,45.07,5.73,5.5,SURE
640561,1999/02/16,"1 h 50 min","PAYS BASQUE (UREPEL)","PYRENEES OCCIDENTALES",,344415.81,6232136.94,43.10,-1.37,5,"ASSEZ SURE"
640559,1999/06/11,"2 h 8 min 19 sec","BEARN (MENDITTE)","PYRENEES OCCIDENTALES",,381303.82,6235766.99,43.15,-0.92,4,SURE
640560,1999/06/11,"11 h 47 min 58 sec","BEARN (ASASP-ARROS)","PYRENEES OCCIDENTALES",,407052.13,6234540.54,43.15,-0.60,5,SURE
380116,1999/09/13,"23 h 27 min 11 sec","BAS-PLATEAUX DAUPHINOIS (BIOL)",DAUPHINE,,888872.81,6486286.02,45.45,5.42,4.5,"ASSEZ SURE"
370031,1999/10/03,"20 h 3 min 34 sec","PAYS LOCHOIS",TOURAINE,,556218.61,6681326.72,47.22,1.10,4,SURE
310037,1999/10/04,"18 h 14 min 26 sec","HAUT-COMMINGES (CIERP)","PYRENEES CENTRALES",,506654.04,6206668.36,42.93,0.63,6,SURE
60158,1999/11/01,"17 h 22 min 35 sec","ALPES NICOISES (PEILLE)","ALPES MARITIMES",,1052622.96,6309899.22,43.80,7.38,5,"ASSEZ SURE"
240004,2000/02/23,"15 h 46 min 40 sec","RIBERACOIS (CHAMPAGNE-ET-FONTAINE)",AQUITAINE,,495317.86,6481234.51,45.40,0.38,5,SURE
640562,2000/03/13,"4 h 16 min 8 sec","PAYS BASQUE (LOHITZUN-OYHERCQ)","PYRENEES OCCIDENTALES",,382038.76,6250571.66,43.28,-0.92,5,SURE
570021,2000/06/14,"2 h 25 min 21 sec","BASSIN SARROIS (HAM-SOUS-VARSBERG)",LORRAINE,,962397.92,6904159.49,49.18,6.60,4.5,"ASSEZ SURE"
740155,2000/08/19,"8 h 37 min 26 sec","FAUCIGNY (MAGLAND)","ALPES SAVOYARDES",,982127.11,6556548.13,46.05,6.65,4.5,SURE
60170,2000/12/19,"14 h 20 min 50 sec","ALPES NICOISES (LA TRINITE)","ALPES MARITIMES",,1048807.89,6305978.60,43.77,7.33,4,SURE
60171,2000/12/20,"5 h 45 min 15 sec","ALPES NICOISES (CONTES)","ALPES MARITIMES",REPLIQUE,1049842.19,6311600.24,43.82,7.35,3.5,"ASSEZ SURE"
